PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	function	gene
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Proteas	YDL097C
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Proteas	YOR259C
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YPR108W
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YER021W
≥ -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YGR253C
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Proteas	YGL011C
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YMR314W
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Proteas	YGR135W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YER012W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YPR103W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YJL001W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Proteas	YOR362C
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YOR157C
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YOL038W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YBL041W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YHR200W
≥ -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	< -0.0669247	< 0.0027569	Proteas	YDR394W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Proteas	YOR117W
≥ -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YFR052W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Proteas	YDL147W
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Proteas	YOR261C
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YBR173C
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Resp	YGR207C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Resp	YNL052W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	< -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YDR069C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YGL187C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YGL191W
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YLR395C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YBL099W
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YDR298C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YJR121W
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YLR038C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Resp	YPL078C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Resp	YDR377W
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	< -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	≥ -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YLR295C
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YBR039W
≥ -2.46131	≥ -0.323711	< 0.125754	≥ 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	< -0.103436	< -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Resp	YDL004W
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	≥ 0.0525043	< 0.0549996	≥ -0.0669247	≥ 0.0027569	Resp	YKL016C
≥ -2.46131	≥ -0.323711	< 0.125754	< 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	≥ 0.0567379	≥ 0.0512376	< -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YJL166W
≥ -2.46131	< -0.323711	< 0.125754	< 0.0172426	≥ 0.116722	< -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	≥ 0.0549996	< -0.0669247	≥ 0.0027569	Resp	YPL271W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	< -0.0530638	≥ -0.067954	< -0.0273938	≥ 0.0347436	< -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YKL180W
< -2.46131	≥ -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	≥ -0.0103348	≥ -0.103436	≥ -0.0742138	≥ 0.0567379	< 0.0512376	≥ -0.128749	≥ -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	< 0.0347436	≥ -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	< -0.0669247	< 0.0027569	Ribo	YDL184C
≥ -2.46131	< -0.323711	≥ 0.125754	< 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	< -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	≥ -0.067954	< -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	≥ 0.0549996	≥ -0.0669247	< 0.0027569	Proteas	YML092C
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	≥ 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	< -0.0444716	≥ 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YBR048W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	< -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YDR450W
< -2.46131	≥ -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	≥ -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	≥ -0.0530638	< -0.067954	< -0.0273938	≥ 0.0347436	≥ -0.0444716	< 0.0342379	< 0.0432133	< 0.0525043	< 0.0549996	≥ -0.0669247	< 0.0027569	Ribo	YHL033C
< -2.46131	< -0.323711	≥ 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	≥ 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	≥ 0.0347436	≥ -0.0444716	≥ 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBR189W
≥ -2.46131	< -0.323711	< 0.125754	≥ 0.0172426	< 0.116722	≥ -0.0670098	< -0.0921005	< -0.0103348	≥ -0.103436	≥ -0.0742138	< 0.0567379	< 0.0512376	≥ -0.128749	< -0.0386652	< -0.0530638	< -0.067954	≥ -0.0273938	< 0.0347436	≥ -0.0444716	< 0.0342379	≥ 0.0432133	≥ 0.0525043	< 0.0549996	< -0.0669247	≥ 0.0027569	Ribo	YBR191W
